"","United Kingdom","United Kingdom","Ireland","Ireland","France","France"
"400-800 (footprint)",1872,16816,2164,12150,72,1336
"Otter",1458,13713,1600,10432,72,1335
"Beam",0,3649,0,1582,0,776
"Dredge",0,2673,0,402,0,46
"Seine",0,2184,0,1280,0,170
"Static",1201,8095,1728,8047,72,811
"OT_CRU",17,3782,775,3362,33,129
"OT_DMF",1324,12147,1545,9843,72,1331
"OT_MIX",139,2825,142,1116,2,931
"OT_MIX_CRU_DMF",0,968,0,292,0,0
"OT_MIX_DMF_BEN",1028,2664,394,1244,33,83
"OT_SPF",6,286,3,65,0,31
"Static_FPO",110,3819,138,920,7,287
"Static_GNS",834,4075,1435,6619,72,393
"Static_LLS",440,1580,1134,3182,69,491
