"","United Kingdom","United Kingdom","Ireland","Ireland","France","France"
"400-800 (footprint)",1920,17554,2229,14425,72,1337
"Otter",1538,14413,1700,12279,72,1336
"Beam",0,3193,0,1675,0,663
"Dredge",0,3130,0,733,0,61
"Seine",0,2240,0,1851,0,84
"Static",1268,9486,1896,10601,72,854
"OT_CRU",29,3799,1000,5189,33,139
"OT_DMF",1381,12865,1616,11610,72,1332
"OT_MIX",119,2340,145,1157,2,931
"OT_MIX_CRU_DMF",0,413,0,203,0,0
"OT_MIX_DMF_BEN",1169,3402,978,3245,35,166
"OT_SPF",13,263,4,101,0,31
"Static_FPO",179,4677,347,2416,9,330
"Static_GNS",871,4952,1598,8327,72,403
"Static_LLS",493,1959,1152,3250,70,525
