"Poly_No","Coord_No","Longitude","Latitude","VME_Csquare","VME_Habitat","VME_Indicator","VME_Elements"
1,"1_1",-7.225,36,"VME","Cold seeps","NULL",NA
1,"1_2",-7.225,35.975,"VME","Cold seeps","NULL",NA
1,"1_3",-7.25,35.975,"VME","Cold seeps","NULL",NA
1,"1_4",-7.275,35.975,"VME","Cold seeps","NULL",NA
1,"1_5",-7.3,35.975,"VME","Cold seeps","NULL",NA
1,"1_6",-7.325,35.975,"VME","Cold seeps","NULL",NA
1,"1_7",-7.325,36,"VME","Cold seeps","NULL",NA
1,"1_8",-7.325,36.025,"VME","Cold seeps","NULL",NA
1,"1_9",-7.325,36.05,"VME","Cold seeps","NULL",NA
1,"1_10",-7.325,36.075,"VME","Cold seeps","NULL",NA
1,"1_11",-7.3,36.075,"VME","Cold seeps","NULL",NA
1,"1_12",-7.275,36.075,"VME","Cold seeps","NULL",NA
1,"1_13",-7.25,36.075,"VME","Cold seeps","NULL",NA
1,"1_14",-7.225,36.075,"VME","Cold seeps","NULL",NA
1,"1_15",-7.225,36.05,"VME","Cold seeps","NULL",NA
1,"1_16",-7.225,36.025,"VME","Cold seeps","NULL",NA
2,"2_1",-7.025,36.525,"VME_ Low","Coral Garden_ Mud and sand emergent fauna_ Cold-water coral reef_ Deep-sea Sponge Aggregations_ NULL","NULL_ Sea-pen","Mudvolcano"
2,"2_2",-7.025,36.55,"VME_ Low","Coral Garden_ Mud and sand emergent fauna_ Cold-water coral reef_ Deep-sea Sponge Aggregations_ NULL","NULL_ Sea-pen","Mudvolcano"
2,"2_3",-7.025,36.575,"VME_ Low","Coral Garden_ Mud and sand emergent fauna_ Cold-water coral reef_ Deep-sea Sponge Aggregations_ NULL","NULL_ Sea-pen","Mudvolcano"
2,"2_4",-7.025,36.6,"VME_ Low","Coral Garden_ Mud and sand emergent fauna_ Cold-water coral reef_ Deep-sea Sponge Aggregations_ NULL","NULL_ Sea-pen","Mudvolcano"
2,"2_5",-7.025,36.625,"VME_ Low","Coral Garden_ Mud and sand emergent fauna_ Cold-water coral reef_ Deep-sea Sponge Aggregations_ NULL","NULL_ Sea-pen","Mudvolcano"
2,"2_6",-7,36.625,"VME_ Low","Coral Garden_ Mud and sand emergent fauna_ Cold-water coral reef_ Deep-sea Sponge Aggregations_ NULL","NULL_ Sea-pen","Mudvolcano"
2,"2_7",-6.975,36.625,"VME_ Low","Coral Garden_ Mud and sand emergent fauna_ Cold-water coral reef_ Deep-sea Sponge Aggregations_ NULL","NULL_ Sea-pen","Mudvolcano"
